Name ,Sex,Age,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
WC - Central Karoo District Municipality (DC5),Male,55-59,1178,1197,1220,1244,1267,1290,1305,1315,1324,1335,1354,1378,1404,1430,1452
WC - Central Karoo District Municipality (DC5),Male,60-64,954,959,971,989,1015,1037,1060,1086,1110,1129,1136,1141,1150,1165,1176
WC - Central Karoo District Municipality (DC5),Male,65-69,714,718,724,733,747,764,779,790,802,815,833,854,874,892,911
WC - Central Karoo District Municipality (DC5),Male,70-74,430,449,467,481,492,507,520,531,541,549,561,569,578,590,600
WC - Central Karoo District Municipality (DC5),Male,75-79,216,218,223,234,250,264,278,291,304,316,338,358,375,386,405
WC - Central Karoo District Municipality (DC5),Male,80+,147,152,158,165,173,180,186,192,198,204,222,240,259,279,299
WC - Central Karoo District Municipality (DC5),Female,0-4,4024,3892,3647,3318,2952,2669,2551,2588,2747,2957,3149,3293,3360,3368,3509
WC - Central Karoo District Municipality (DC5),Female,5-9,3697,3757,3878,4009,4067,4018,3851,3575,3258,3007,2859,2803,2845,2952,2896
WC - Central Karoo District Municipality (DC5),Female,10-14,3760,3755,3730,3724,3769,3847,3961,4089,4160,4114,3967,3742,3469,3224,3065
WC - Central Karoo District Municipality (DC5),Female,15-19,3039,3216,3419,3627,3742,3784,3769,3731,3722,3761,3809,3913,4037,4111,4193
WC - Central Karoo District Municipality (DC5),Female,20-24,2451,2502,2569,2650,2804,2992,3189,3375,3532,3591,3637,3635,3604,3591,3603
WC - Central Karoo District Municipality (DC5),Female,25-29,2413,2366,2346,2355,2388,2434,2489,2557,2635,2773,2922,3090,3270,3442,3631
WC - Central Karoo District Municipality (DC5),Female,30-34,2615,2555,2475,2398,2344,2321,2305,2298,2299,2312,2356,2412,2479,2554,2608
WC - Central Karoo District Municipality (DC5),Female,35-39,2264,2337,2414,2467,2488,2484,2446,2389,2328,2275,2236,2216,2217,2235,2218
WC - Central Karoo District Municipality (DC5),Female,40-44,2109,2082,2062,2065,2103,2161,2241,2324,2381,2398,2374,2329,2280,2238,2211
WC - Central Karoo District Municipality (DC5),Female,45-49,1849,1885,1925,1959,1987,1998,1990,1980,1985,2011,2054,2120,2193,2246,2303
